universidade	sexo	area	maismedico	feliciano	diretasja	pec	vicegov	vicepres	manif	tipo
1	2	2	0	1	1	1	0	1	0	1
1	1	1	0	1	0	1	0	1	1	1
1	1	2	1	0	1	1	0	0	0	1
1	1	2	1	1	1	1	0	1	1	1
1	2	2	1	1	0	0	0	1	0	1
1	2	2	1	1	0	1	0	1	0	1
1	2	2	1	1	1	1	NA	1	1	1
1	2	2	0	1	1	0	0	0	0	1
1	2	2	1	0	1	1	0	0	1	1
1	1	2	1	1	0	1	0	0	0	1
1	1	2	1	1	0	0	0	0	1	1
1	1	2	1	1	1	0	0	1	0	1
1	2	2	1	1	0	1	0	0	0	1
1	1	3	1	1	1	1	0	1	0	1
1	2	2	1	1	1	1	0	1	1	1
1	1	3	1	1	0	1	0	0	0	1
1	1	2	1	1	1	1	0	1	0	1
1	1	3	1	1	1	0	0	0	0	1
1	1	3	1	0	0	1	0	0	1	1
1	1	NA	NA	NA	NA	NA	NA	NA	NA	1
1	1	3	0	0	0	1	0	0	0	1
1	1	1	1	0	0	1	0	1	0	1
1	1	3	1	0	0	0	0	0	0	1
1	2	2	1	1	0	1	0	0	0	1
1	2	3	1	0	1	0	0	0	0	1
1	2	2	1	1	1	1	0	1	1	1
1	1	3	1	1	0	0	0	0	0	1
1	1	3	0	0	0	1	0	1	0	1
1	2	2	1	1	0	1	0	0	1	1
1	1	3	1	0	0	1	0	1	0	1
1	1	3	1	1	0	1	0	0	0	1
1	1	3	0	0	1	1	0	0	0	1
1	2	3	1	1	1	1	0	0	1	1
1	1	1	1	0	1	1	0	0	1	1
1	2	3	1	1	0	1	0	1	1	1
1	2	2	1	0	0	1	0	1	0	1
1	1	1	1	1	0	1	0	0	0	1
1	2	2	1	0	1	1	0	1	1	1
1	2	2	1	1	1	1	0	0	1	1
1	2	2	1	0	1	1	0	1	1	1
1	2	1	1	1	1	1	0	1	0	1
1	2	1	0	1	1	1	0	1	0	1
1	1	1	1	1	1	1	0	0	0	1
1	1	2	1	1	0	0	0	0	0	1
1	1	1	1	0	0	0	0	0	0	1
1	2	2	1	1	1	1	0	1	0	1
1	2	1	1	1	1	1	1	1	1	1
1	1	3	1	1	0	1	0	0	0	1
1	2	3	1	1	0	0	0	1	1	1
1	2	3	1	1	0	1	0	1	1	1
1	1	1	1	1	0	0	0	0	0	1
1	2	1	1	1	1	1	0	0	1	1
1	1	3	NA	0	0	1	0	0	0	1
1	2	3	1	1	0	1	0	0	1	1
1	1	3	1	0	0	0	0	0	1	1
1	2	3	1	1	0	1	0	0	0	1
1	1	3	1	1	0	0	0	0	1	1
1	1	3	1	1	0	0	0	0	1	1
1	2	1	1	1	0	1	0	1	1	1
1	1	1	1	1	0	1	0	1	1	1
1	1	3	1	0	0	0	0	0	0	1
1	1	3	1	0	0	0	0	0	0	1
1	1	3	1	1	0	1	0	0	0	1
1	1	1	1	1	1	0	0	0	1	1
1	1	1	1	0	1	0	0	1	0	1
1	1	3	1	1	0	0	0	0	0	1
1	1	3	1	0	0	1	0	0	0	1
1	2	3	1	1	0	1	0	1	0	1
1	1	3	1	0	0	1	0	1	1	1
1	1	3	1	0	0	0	0	0	0	1
1	2	3	1	1	1	1	0	0	0	1
1	1	1	1	1	1	1	0	0	1	1
1	2	3	1	1	1	0	0	1	1	1
1	1	1	1	1	0	1	0	0	1	1
1	1	3	1	1	0	1	0	0	1	1
1	1	3	1	1	0	1	0	0	0	1
1	2	1	1	1	0	1	0	1	0	1
1	1	1	1	0	0	1	0	0	0	1
1	1	1	1	0	0	0	0	0	0	1
1	1	1	1	1	0	1	0	1	1	1
1	1	1	1	1	0	1	0	0	0	1
1	1	3	1	0	1	1	0	1	1	1
1	1	1	1	1	0	0	0	1	1	1
1	3	1	1	1	0	1	0	1	1	1
1	1	1	1	1	0	1	NA	NA	1	1
1	1	1	0	1	0	1	0	0	0	1
1	1	1	1	0	0	1	0	0	1	1
1	2	1	1	1	0	0	0	0	0	1
1	1	1	0	1	NA	1	0	0	1	1
1	2	1	1	1	1	1	0	0	1	1
1	2	1	1	0	0	1	0	1	0	1
1	1	1	1	1	0	1	0	1	0	1
1	2	1	1	1	0	1	0	1	1	1
1	1	1	1	0	1	1	0	0	0	1
1	2	1	1	1	0	1	0	1	1	1
1	1	1	1	1	0	1	0	0	1	1
1	1	1	1	1	NA	0	0	0	0	1
1	2	1	1	1	1	1	0	1	1	1
1	1	1	1	1	0	1	0	0	0	1
1	2	1	1	1	0	1	0	0	1	1
1	1	1	1	0	0	1	0	0	1	1
1	2	1	1	1	0	1	0	1	1	1
1	2	1	1	1	0	1	0	0	1	1
1	1	1	1	1	0	0	0	0	1	1
1	2	1	1	1	0	1	0	0	1	1
1	2	1	1	0	1	0	0	0	1	1
1	2	1	1	1	1	1	0	1	0	1
1	2	1	1	1	1	1	0	0	1	1
0	2	2	1	0	0	1	0	1	0	0
0	1	1	1	0	0	1	0	0	0	0
0	2	2	1	0	0	1	0	0	0	0
0	2	1	1	1	0	0	0	1	0	0
0	1	3	1	0	1	1	0	1	1	0
0	1	3	1	0	0	0	0	1	0	0
0	2	2	1	1	0	1	0	0	0	0
0	2	3	1	0	0	1	0	0	0	0
0	2	1	1	0	0	1	0	0	0	0
0	2	1	1	0	1	0	0	1	1	0
0	2	2	1	1	0	1	0	0	0	0
0	2	2	1	1	1	1	0	1	1	0
0	2	2	1	0	1	0	0	0	1	0
0	1	1	1	0	1	1	0	0	0	0
0	2	1	1	1	0	0	0	0	1	0
0	2	3	1	0	0	0	0	0	0	0
0	2	3	1	1	0	0	0	1	0	0
0	1	1	1	1	1	1	0	1	1	0
0	1	1	1	0	0	0	0	0	0	0
0	1	1	1	1	0	1	0	0	0	0
0	2	1	1	1	0	1	0	1	0	0
0	2	1	1	1	0	1	0	1	1	0
0	2	2	1	1	0	1	0	0	0	0
0	2	1	1	0	0	1	0	0	0	0
0	2	1	1	0	0	1	0	0	1	0
0	2	1	1	1	0	1	0	1	1	0
0	2	2	1	1	0	1	0	0	1	0
0	2	2	1	0	0	1	0	1	0	0
0	2	3	1	1	0	1	0	0	0	0
0	1	1	1	1	0	1	0	1	0	0
0	2	1	1	0	0	0	0	0	0	0
0	2	2	1	1	0	1	0	0	1	0
0	1	3	1	0	0	0	0	0	1	0
0	1	2	1	0	0	0	0	0	0	0
0	2	1	0	1	1	1	0	0	0	0
0	2	1	1	0	1	1	0	1	0	0
0	1	1	1	1	0	1	0	1	1	0
0	2	2	1	0	0	0	0	0	0	0
0	1	1	1	1	1	1	0	0	1	0
0	1	3	1	0	0	1	0	1	0	0
0	1	3	1	1	0	1	0	1	0	0
0	2	3	1	0	0	1	0	0	0	0
1	1	1	1	1	0	1	0	1	1	0
1	1	3	1	1	1	0	0	0	1	0
1	2	2	1	1	0	1	0	0	0	0
1	1	2	1	0	0	1	0	0	1	0
1	2	2	1	1	1	1	0	0	1	0
1	1	1	1	1	0	1	0	0	1	0
1	2	1	1	1	0	1	0	1	1	0
1	1	1	1	1	0	0	0	0	1	0
1	1	1	1	1	0	1	0	1	0	0
1	1	1	1	1	0	0	0	0	1	0
1	2	1	1	1	0	1	0	1	1	0
1	1	1	1	1	1	1	0	1	0	0
1	2	2	1	1	1	1	0	1	0	0
1	1	1	1	1	0	1	0	0	1	0
1	1	1	1	1	1	1	0	1	1	0
1	1	1	1	1	1	1	0	0	1	0
1	2	1	1	1	0	0	0	0	1	0
1	1	1	1	1	0	1	0	0	0	0
1	1	1	1	1	0	1	0	NA	0	0
1	1	1	1	1	1	1	0	0	0	0
1	1	3	1	0	0	1	0	0	0	0
1	1	3	1	1	0	1	0	0	1	0
1	2	2	1	1	0	1	0	0	1	0
1	2	3	1	1	0	0	0	0	1	0
1	2	2	1	0	0	0	0	0	0	0
1	1	3	1	1	1	1	0	0	0	0
1	1	3	1	0	0	0	0	0	0	0
1	1	3	1	0	0	1	0	0	1	0
1	2	1	1	1	0	0	0	1	1	0
1	2	3	1	1	0	1	0	0	1	0
1	2	2	1	0	1	0	0	1	0	0
1	1	2	1	0	0	1	0	0	0	0
1	2	2	1	0	0	1	0	0	1	0
1	2	2	1	0	0	1	0	1	1	0
1	2	2	1	0	1	0	0	0	1	0
1	2	2	1	1	0	1	1	1	0	0
1	2	2	1	1	1	1	0	1	0	0
1	2	1	1	1	0	1	0	0	1	0
1	2	2	1	1	0	1	0	0	1	0
1	1	3	1	1	0	1	0	0	0	0
1	1	1	1	0	1	1	0	0	0	0
1	1	1	1	1	0	0	0	0	0	0
1	2	1	1	0	1	1	0	1	1	0
1	2	1	1	1	0	1	0	1	1	0
1	2	1	1	0	1	0	0	0	0	0
1	2	1	1	1	0	1	0	0	1	0
1	2	1	1	1	0	0	0	0	1	0
1	2	1	1	0	1	0	0	0	1	0
1	2	2	1	1	0	1	0	0	0	0
1	2	3	1	0	0	0	0	0	0	0
1	2	1	1	0	1	1	0	0	1	0
1	1	1	1	0	0	1	0	0	1	0
1	2	1	0	1	1	1	0	1	1	0
1	2	2	1	0	0	1	0	1	0	0
1	1	3	1	0	0	0	0	0	1	0
1	1	3	1	0	0	1	0	0	1	0
1	1	1	1	1	0	1	0	0	1	0
1	2	1	NA	1	1	1	0	1	0	0
1	1	1	1	1	0	0	0	0	0	1
1	2	1	1	0	0	1	0	0	0	1
1	1	3	1	1	0	0	0	0	0	1
1	2	2	1	1	0	1	0	0	0	1
1	1	2	1	0	0	1	0	0	0	1
